SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;COUNTRY;SP_SYNONYM;SP_SYNONYM_COMMENT;EARLY_INTERVALL;LATE_INTERVALL;REFERENCE
Palaeoloxodon recki;Konso - Interval 1;5.25;37.5;1.93;1.86;73-70;NA;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Namib 4;-23.5833;15.4167;0.35;0.35;10;K;;;;Calabrian;;"Shackley, M. (1980): An Acheulean industry with Elephas recki fauna from Namiv IV, South West Africa (Namibia). In: Nature (284), S. 340–341.   Shackley, M.; Komura, K.; Hayashi, T.; Ikeya, M.; Matsuura, M.; Ueta, N. (1985): Chronometric dating of bone from Namib IV Acheulean site, South West Africa/Namibia. In: Bulletin of the National Science Museum Toyo (11), S. 7–12."
Palaeoloxodon recki;AssalW;11.6009;42.370602;0.8;0.5;20-13;K?;;;;Middle Pleistocene;;D. Geraads and L. de Bonis. 2020. First record of Theropithecus (Cercopithecidae) from the Republic of Djibouti. Journal of Human Evolution 138(102686)
Palaeoloxodon recki;Danakil - general;14.0833;39.849998;1.03;0.99;29-28;NA;;;;Jaramillo around 1mya;;E. Abbate, A. Albianelli A. Azzaroli, M. Benvenuti, B. Tesfamariam, P. Bruni, N. Cipriani, et al. 1998. A one-million-year-old Homo cranium from the Danakil (Afar) Depression of Eritrea. Nature 393:458-460
Palaeoloxodon recki;Ahl al Ouglam;33.67745;-7.50463;2.5;2.5;100-102;K?;Marocco;;;;;"Geraards, D.; Raynal, J-P; Sbihi-Alaoui, F.-Z. (2010): Mammalian faunas from the Pliocene and Pleistocene of Casablanca (Morocco). In: Historical Biology (22), S. 275–285."
Palaeoloxodon recki;Olorgesailie Member I, Site 15;-1.5706;36.4375;0.992;0.974;28-27;K;;;;Pleistocene;;"Isaac, G. L. (1977): Olorgesailie: Archeological Studies of a Middle Pleistocene Lake Basin in Kenya. Chicago, IL, USA: Chicago Press.     Potts, R. (1989): Olorgesailie: New excavations and findings in Early and Middle Pleistocene contexts, southern Kenya Rift valley. In: Jounal of Human Evolution (18), S. 477–484.    Potts, R.; Behrensmeyer, A. K.; Ditchfield, P. (2006): Paleolandscape variation and Early Pleistocene hominid activities: Members 1 and 7, Olorgesailie Formation, Kenya. In: Jounal of Human Evolution (25), S. 448–465. "
Palaeoloxodon recki;Lainyamok;-1.80588;36.211829;0.7;0.6;17;W;;;;;;"Potts, R.; Shipman, P.; Ingall, E. (1988): Taphonomy, paleoecology, and hominids of Lainyamok, Kenya. In: Journal of Human Evolution (17), S. 597–614."
Palaeoloxodon recki;Chemeron fm.;0.6667;35.833302;5.333;2.588;TG6-103;NA;;;;Zanclean;Pliocene;A. J. Winkler. 1988. The Neogene rodent succession of the Baringo Basin, Kenya. Journal of Vertebrate Paleontology 8(3,Suppl.):29A.
Palaeoloxodon recki;Katanda 2 - Semliki Beds;0.1;29.5833;5.333;0.781;TG6-19;NA;;;;Pliocene;Pleistocene;A. S. Brooks, D. Helgren, and J. Cramer, A. Franklin, W. Hornyak, J. Keating, , R. G. Klein, W. J. Rink, H. Schwarcz, J. N. Smith. 1995. Dating and context of three Middle Stone Age sites with bone points in the Upper Semliki Valley, Zaire. Science 268(5210):548-553
Palaeoloxodon recki;SHKII-Mddle BdII;-2.9916;35.327801;1.806;0.781;65-19;NA;;;;Calabrian;;A. W. Gentry. 1978. Bovidae.  In V. J. Maglio and H. B. S. Cooke (eds.), Evolution of African Mammals. Harvard University Press, Cambridge, Massachusetts
Palaeoloxodon recki;BK - Bed III/IV;-2.992;35.419399;1.806;0.781;65-19;NA;;;;Calabrian;;A. W. Gentry. 1978. Fossil Bovidae of the Baringo Area,Kenya. In:Geol.background to fossil man
Palaeoloxodon recki;Konso - Interval 4;5.25;37.5;1.45;1.43;63-23;NA;;;;Gelasian;Calabrian;B. Asfaw, Y. Beyene, and G. Suwa, R. Walter, T. White, G. WoldeGabriel, T. Yemane. 1992. The earliest Acheulean from Konso-Gardula. Nature 360:732-735
Palaeoloxodon recki;Kaiso Village fm. - General;1.5;31;3.6;0.0117;Gi1-1;NA;;;;Late Pliocene;Late Pleistocene;B. Senut, M. Pickford, and I. Ssemmanda, D. Elepu, P. Obwona. 1987. Decouverte du premier Homininae dans le Pleistocene de Nyabusosi. Comptes Rendus Acad. des Sci.,serie II 305(9):819-822
Palaeoloxodon recki;Barogali, Djibouti;11.056682;41.981301;1.6;1.3;55-45;NA;;;;;;Berthelet, A. (2002): Barogali and Oued Doure: two early Stage Age Sites from the Republic of Djibouti. In: L'Anthropologie (106), S. 1–39.
Palaeoloxodon recki;Omo - L.10;5.0803;36.014198;2.588;1.806;G14-65;NA;;;;Gelasian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;Omo - L.2;5.0689;36.028599;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;Omo - O.20;5.05;36.036098;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;Omo - O.222;5.1219;36.034199;2.588;1.806;103-65;NA;;;;Gelasian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;Omo - O.33;5.0661;36.029999;2.588;1.806;103-65;NA;;;;Gelasian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;Omo - O.44;5.0333;36.023899;2.588;1.806;103-65;NA;;;;Gelasian;;C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622
Palaeoloxodon recki;South Turkwel;3.0833;35.833302;4;3.5;MG7-Gi20;NA;Kenya;;;Pliocene;;C. V. Ward, M. G. Leakey, and B. Brown, F. Brown,  J. Harris, A. Walker. 1999. South Turkwel: a new Pliocene hominid site in Kenya. Journal of Human Evolution 36:69-95
Palaeoloxodon recki;Haïdalo;11.024201;41.983524;1.5;0.5;50-15;NA;;;;;;"Chavaillo, J.; Berthelet, A. (2001): The Elephas recki site of Haïdalo (republic of Djibouti). Rome, S. 191–193.      Chavaillo, J.; Berthelet, A.; Boisaubert, J.-L.; Faure, M.; Guérin, C.; Warsama, S. A. (1990): Un Elephas recki découvert en connexion anatomique à Haïdalo près de As Eyla (République de Djibouti). In: Comptes Rendus de l'Académie des Sciences - Series II (310), S. 441–446."
Palaeoloxodon recki;Hadar - AL.162;11.1417;40.597198;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;D. C. Johanson, M. Splingaer, and N. T. Boaz. 1976. Paleontological excavations in the Shungura Formation, Lower Omo Basin, 1969-1973.  In Y. Coppens, F. C. Howell, G. L. Isaac, R. L. Leakey (eds.), Earliest Man and Environments in the East Rudolf Basin. Chicago: University of Chicago Press.
Palaeoloxodon recki;Hadar - AL.241;11.1153;40.5625;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;D. C. Johanson, M. Splingaer, and N. T. Boaz. 1976. Paleontological excavations in the Shungura Formation, Lower Omo Basin, 1969-1973.  In Y. Coppens, F. C. Howell, G. L. Isaac, R. L. Leakey (eds.), Earliest Man and Environments in the East Rudolf Basin. Chicago: University of Chicago Press.
Palaeoloxodon recki;Hadar - AL.288;11.1403;40.602798;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;D. C. Johanson, M. Splingaer, and N. T. Boaz. 1976. Paleontological excavations in the Shungura Formation, Lower Omo Basin, 1969-1973.  In Y. Coppens, F. C. Howell, G. L. Isaac, R. L. Leakey (eds.), Earliest Man and Environments in the East Rudolf Basin. Chicago: University of Chicago Press.
Palaeoloxodon recki;Hadar - DD General;11.1333;40.583302;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;D. C. Johanson, M. Splingaer, and N. T. Boaz. 1976. Paleontological excavations in the Shungura Formation, Lower Omo Basin, 1969-1973.  In Y. Coppens, F. C. Howell, G. L. Isaac, R. L. Leakey (eds.), Earliest Man and Environments in the East Rudolf Basin. Chicago: University of Chicago Press.
Palaeoloxodon recki;Hadar - KH General;11.1333;40.586102;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;D. C. Johanson, M. Splingaer, and N. T. Boaz. 1976. Paleontological excavations in the Shungura Formation, Lower Omo Basin, 1969-1973.  In Y. Coppens, F. C. Howell, G. L. Isaac, R. L. Leakey (eds.), Earliest Man and Environments in the East Rudolf Basin. Chicago: University of Chicago Press.
Palaeoloxodon recki;Olduvai Bed III;-2.986670251;35.34683704;1.19;1.09;35-32;NA;Tanzania;Elephas reckirecki;subspecies;;;"Deimo, A. L.; Heil.C. Jr.; King, J.; McHendry, L. J.; Stanistreeet, I. G.; Stollhofen, H. et al. (2021): Chronostratigraphy and age modeling of Pleistocene drill cores from the Olduvai Basin, Tanzania (Olduvai Gorge Coring Project). In: Palaeogeography, Palaeoclimatology, Palaeloecology (571), S. 109990."
Palaeoloxodon recki;Olduvai Bed IV;-2.986670251;35.34683704;1.01;0.85;28-21;NA;Tanzania;Elephas reckirecki;subspecies;;;"Deimo, A. L.; Heil.C. Jr.; King, J.; McHendry, L. J.; Stanistreeet, I. G.; Stollhofen, H. et al. (2021): Chronostratigraphy and age modeling of Pleistocene drill cores from the Olduvai Basin, Tanzania (Olduvai Gorge Coring Project). In: Palaeogeography, Palaeoclimatology, Palaeloecology (571), S. 109990."
Palaeoloxodon recki;Middle Awash - Wilti Dora;10.5667;40.583302;3.9;3.4;Gi15-MG7;NA;;;;Pliocene;Pliocene;E. S. Vrba. 1997. New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash, Ethiopia, and phylogenetic analysis of Alcelaphini. Palaeontologia Africana 34:127-198
Palaeoloxodon recki;Omo - member D;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;F. C. Howell and Y. Coppens. 1973. Inventory of remains of Hominidae from Pliocene and Pleistocene formations of the lower Omo Basin, Ethiopia (1967-1972). American Journal of Physical Anthropology 40:1-16
Palaeoloxodon recki;Omo - member D;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;F. C. Howell and Y. Coppens. 1973. Inventory of remains of Hominidae from Pliocene and Pleistocene formations of the lower Omo Basin, Ethiopia (1967-1972). American Journal of Physical Anthropology 40:1-16
Palaeoloxodon recki;Omo - member D1;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;F. C. Howell and Y. Coppens. 1973. Inventory of remains of Hominidae from Pliocene and Pleistocene formations of the lower Omo Basin, Ethiopia (1967-1972). American Journal of Physical Anthropology 40:1-16
Palaeoloxodon recki;Omo - member F1;5.058;36.025002;2.588;1.806;103-65;NA;;;;Gelasian;;F. C. Howell and Y. Coppens. 1973. Inventory of remains of Hominidae from Pliocene and Pleistocene formations of the lower Omo Basin, Ethiopia (1967-1972). American Journal of Physical Anthropology 40:1-16
Palaeoloxodon recki;Omo - member G11;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;F. C. Howell and Y. Coppens. 1973. Inventory of remains of Hominidae from Pliocene and Pleistocene formations of the lower Omo Basin, Ethiopia (1967-1972). American Journal of Physical Anthropology 40:1-16
Palaeoloxodon recki;Chiwondo Beds - Unit 3A;-10.167;34;2.5;2.3;99-94;NA;;;;Pliocene;Pleistocene;F. Schrenk, T. G. Bromage, and C. G. Betzler, U. Ring, Y. M. Juwayeyi. 1993. Oldest Homo and Pliocene biogeography of the Malawi Rift. Nature 365:833-836
Palaeoloxodon recki;Gafalo Djibouti;11.022558;41.973237;1.6;1.3;55-45;NA;;;;;;"Faure, M.; Guérin, C. (1997): Gafalo, nouveau site à Palaeoloxodon recki et Hippopotamus amphibius du Pléistocène ancien du Gobaad (République de Djibouti). In: Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science (324), S. 1017–1021."
Palaeoloxodon recki;Shungura Tuff J;4.913804;35.968296;1.77;1.71;63-61;NA;Ethiopia;Elephas reckiileretensis;subspecies;;;"Feibel, C. S.; Brown, F. H.; McDougall, I. (1989): Stratigraphic context of fossil Hominids from the Omo Group deposits: Northern Turkana Basin, Kenya and Ethiopia. In: American Journal of Physical Anthropology (78), S. 595–622."
Palaeoloxodon recki;Shungura Tuff K;4.913804;35.968296;1.56;1.5;53-50;NA;Ethiopia;Elephas reckiileretensis;subspecies;;;"Feibel, C. S.; Brown, F. H.; McDougall, I. (1989): Stratigraphic context of fossil Hominids from the Omo Group deposits: Northern Turkana Basin, Kenya and Ethiopia. In: American Journal of Physical Anthropology (78), S. 595–622."
Palaeoloxodon recki;Buia;14.667;39.5;1.8;0.774;64-19;NA;Eritrea;\N;\N;;;"Ferretti, M.; Ficcarelli, G.; Libsekal, Y.; Tecle, T. M.; Rook, L. (2003): Fossil elephants from Buia (Northern Afar Depression, Eritrea) with remarks on the systematics of Elephas recki (Proboscidea, Elephantidae). In: Journal of Vertrebrate Paleontology (23:1), S. 244–257."
Palaeoloxodon recki;Omo - L.12;5.0942;36.0233;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - L.193;5.0794;36.023899;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - L.23;5.08;36.0172;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - L.49;5.0647;36.026402;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member D2;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member D5;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - Member E3;5.1192;36.023102;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member E4;5.119;36.022999;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member F3;5.058;36.022999;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member F3;5.058;36.022999;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member G13;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - member G4;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - O.223;5.0458;36.014198;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - O.5;5.0594;36.0383;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Omo - O.68;5.0353;36.013599;2.588;1.806;103-65;NA;;;;Gelasian;;G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63
Palaeoloxodon recki;Nyabusosi fm. - general;1;30.5;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;G. Petter. 1994. Carnivora from Nkondo and Kisegi-Nyabusosi,Western Rift, Uganda. In:Geol. and palaeobiology of the Albertine rift valley, B.Senut(ed.) II:207-215
Palaeoloxodon recki;Konso - 4W;5.25;37.5;2.588;0.781;103-19;NA;;;;Gelasian;Calabrian;G. Suwa, B. Aswfaw, and Y. Beyene, T. White, S. Katoh, S. Nagaoka, H. Nakaya, K. Uzawa, P. Renne, G. WoldeGabriel. 1997. The first skull of Australopithecus boisei. Nature 389(6650):489-492
Palaeoloxodon recki;Konso - KGA10;5.25;37.5;1.806;0.781;65-19;NA;;;;Calabrian;;G. Suwa, B. Aswfaw, and Y. Beyene, T. White, S. Katoh, S. Nagaoka, H. Nakaya, K. Uzawa, P. Renne, G. WoldeGabriel. 1997. The first skull of Australopithecus boisei. Nature 389(6650):489-492
Palaeoloxodon recki;Konso - Interval 2;5.25;37.5;1.8;1.7;64;K;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Konso - Interval 3;5.25;37.5;1.6;1.5;55;W;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Konso - Interval 5;5.25;37.5;1.43;1.41;47-46;NA;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Konso - Interval 6;5.25;37.5;1.43;0.781;47-19;NA;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Omo - L.465;5.0986;36.037498;2.588;1.806;103-65;NA;;;;Gelasian;;G. Suwa, T. D. White, and F. Clark Howell. 1996. Mandibular postcanine dentition from the Shungura Formation, Ethiopia: Crown morphology, taxonomic allocations and Plio-Pleistocene Hominid Evolution. American Journal of Physical Anthropology 101:247-282
Palaeoloxodon recki;Omo - L.74;5.0725;36.018101;2.588;1.806;103-65;NA;;;;Gelasian;;G. Suwa, T. D. White, and F. Clark Howell. 1996. Mandibular postcanine dentition from the Shungura Formation, Ethiopia: Crown morphology, taxonomic allocations and Plio-Pleistocene Hominid Evolution. American Journal of Physical Anthropology 101:247-282
Palaeoloxodon recki;Omo - O.75;5.0342;36.009998;2.588;1.806;103-65;NA;;;;Gelasian;;G. Suwa, T. D. White, and F. Clark Howell. 1996. Mandibular postcanine dentition from the Shungura Formation, Ethiopia: Crown morphology, taxonomic allocations and Plio-Pleistocene Hominid Evolution. American Journal of Physical Anthropology 101:247-282
Palaeoloxodon recki;Omo - Member E2;5.1192;36.023102;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. S. Cooke. 1994. Personal communication regarding the Omo Suidae.
Palaeoloxodon recki;Omo - member G7;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. S. Cooke. 1994. Personal communication regarding the Omo Suidae.
Palaeoloxodon recki;Omo - member G8;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. S. Cooke. 1994. Personal communication regarding the Omo Suidae.
Palaeoloxodon recki;Mursi - Yellow Sands;5.4417;35.958302;5.333;3.6;TG6-Gi5;NA;;;;Zanclean;;H. B. Wesselman. 1984. The Omo Micromammals: Systematics and Paleoecology of Early Man Sites from Ethiopia. Contributions to Vertebrate Evolution 17
Palaeoloxodon recki;Omo - L.101;5.0708;36.020599;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. Wesselman. 1984. The Omo Micromammals: Systematics and Paleoecology of Early Man Sites from Ethiopia. Contributions to Vertebrate Evolution 17
Palaeoloxodon recki;Omo - L.11;5.0967;36.0228;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. Wesselman. 1984. The Omo Micromammals: Systematics and Paleoecology of Early Man Sites from Ethiopia. Contributions to Vertebrate Evolution 17
Palaeoloxodon recki;Omo - L.159;5.0889;36.019402;2.588;1.806;103-65;NA;;;;Gelasian;;H. B. Wesselman. 1984. The Omo Micromammals: Systematics and Paleoecology of Early Man Sites from Ethiopia. Contributions to Vertebrate Evolution 17
